title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Education Managers (NEC),134499,134499,https://www.anzscolookup.com.au/occupations/134499,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Education Reviewer,249112,249112,https://www.anzscolookup.com.au/occupations/249112,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Educational Psychologist,272312,272312,https://www.anzscolookup.com.au/occupations/272312,APS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
electorate officer,224911,224911,https://www.anzscolookup.com.au/occupations/224911,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Electrical Engineer,233311,233311,https://www.anzscolookup.com.au/occupations/233311,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Electrical Engineering Draftsperson,312311,312311,https://www.anzscolookup.com.au/occupations/312311,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Electrical Engineering Technician,312312,312312,https://www.anzscolookup.com.au/occupations/312312,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Electrical Linesworker / Electrical Line Mechanic,342211,342211,https://www.anzscolookup.com.au/occupations/342211,TRA,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 8 states"
Electrician (General),341111,341111,https://www.anzscolookup.com.au/occupations/341111,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Electrician (Special Class),341112,341112,https://www.anzscolookup.com.au/occupations/341112,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
electronic engineering draftsperson,312411,312411,https://www.anzscolookup.com.au/occupations/312411,Engineers Australia,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Electronic Engineering Technician,312412,312412,https://www.anzscolookup.com.au/occupations/312412,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Electronic Equipment Trades Worker,342313,342313,https://www.anzscolookup.com.au/occupations/342313,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Electronic Instrument Trades Worker (General),342314,342314,https://www.anzscolookup.com.au/occupations/342314,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Electronic Instrument Trades Worker (Special Class),342315,342315,https://www.anzscolookup.com.au/occupations/342315,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Electronics Engineer,233411,233411,https://www.anzscolookup.com.au/occupations/233411,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 7 states"
Electroplater,322112,322112,https://www.anzscolookup.com.au/occupations/322112,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Emergency Medicine Specialist,253912,253912,https://www.anzscolookup.com.au/occupations/253912,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Emergency Service Worker,441211,441211,https://www.anzscolookup.com.au/occupations/441211,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
Endocrinologist,253315,253315,https://www.anzscolookup.com.au/occupations/253315,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Engineering Manager,133211,133211,https://www.anzscolookup.com.au/occupations/133211,Engineers Australia / IML,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Engineering Patternmaker,323411,323411,https://www.anzscolookup.com.au/occupations/323411,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Engineering Professionals (NEC),233999,233999,https://www.anzscolookup.com.au/occupations/233999,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Engineering Technologist,233914,233914,https://www.anzscolookup.com.au/occupations/233914,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
engraver,323311,323311,https://www.anzscolookup.com.au/occupations/323311,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Enrolled Nurse,411411,411411,https://www.anzscolookup.com.au/occupations/411411,ANMAC,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 7 states"
entertainer or variety artist,211113,211113,https://www.anzscolookup.com.au/occupations/211113,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Entomologist,234521,234521,https://www.anzscolookup.com.au/occupations/234521,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Environmental Consultant,234312,234312,https://www.anzscolookup.com.au/occupations/234312,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Environmental Engineer,233915,233915,https://www.anzscolookup.com.au/occupations/233915,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Environmental Health Officer,251311,251311,https://www.anzscolookup.com.au/occupations/251311,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 8 states"
Environmental Manager,139912,139912,https://www.anzscolookup.com.au/occupations/139912,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Environmental Research Scientist,234313,234313,https://www.anzscolookup.com.au/occupations/234313,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 7 states"
Environmental Scientist (NEC),234399,234399,https://www.anzscolookup.com.au/occupations/234399,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Equipment Hire Manager,149915,149915,https://www.anzscolookup.com.au/occupations/149915,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Exercise Physiologist,234915,234915,https://www.anzscolookup.com.au/occupations/234915,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 6 states"
External Auditor,221213,221213,https://www.anzscolookup.com.au/occupations/221213,CPAA / IPA / CAANZ,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Facilities Manager,149913,149913,https://www.anzscolookup.com.au/occupations/149913,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
Faculty Head,134411,134411,https://www.anzscolookup.com.au/occupations/134411,VETASSESS,"CSOL, MLTSSL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Family And Marriage Counsellor,272113,272113,https://www.anzscolookup.com.au/occupations/272113,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 6 states"
Family Support Worker,411713,411713,https://www.anzscolookup.com.au/occupations/411713,ACWA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 7 states"
Farrier,322113,322113,https://www.anzscolookup.com.au/occupations/322113,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Fashion Designer,232311,232311,https://www.anzscolookup.com.au/occupations/232311,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 4 states"
Film And Video Editor,212314,212314,https://www.anzscolookup.com.au/occupations/212314,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
"film, television, radio and stage directors (nec)",212399,212399,https://www.anzscolookup.com.au/occupations/212399,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Finance Broker,222112,222112,https://www.anzscolookup.com.au/occupations/222112,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Finance Manager,132211,132211,https://www.anzscolookup.com.au/occupations/132211,CPAA / IPA / CAANZ,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Financial Brokers (NEC),222199,222199,https://www.anzscolookup.com.au/occupations/222199,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
Financial Dealers (NEC),222299,222299,https://www.anzscolookup.com.au/occupations/222299,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
Financial Institution Branch Manager,149914,149914,https://www.anzscolookup.com.au/occupations/149914,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 4 states"
Financial Investment Adviser,222311,222311,https://www.anzscolookup.com.au/occupations/222311,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Financial Investment Manager,222312,222312,https://www.anzscolookup.com.au/occupations/222312,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
Financial Market Dealer,222211,222211,https://www.anzscolookup.com.au/occupations/222211,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
Fire Protection Equipment Technician,399918,399918,https://www.anzscolookup.com.au/occupations/399918,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Fire Protection Plumber,334117,334117,https://www.anzscolookup.com.au/occupations/334117,TRA,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
First Aid Trainer,451815,451815,https://www.anzscolookup.com.au/occupations/451815,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 3 states"
fisheries officer,311311,311311,https://www.anzscolookup.com.au/occupations/311311,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Fitness Centre Manager,149112,149112,https://www.anzscolookup.com.au/occupations/149112,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Fitter (General),323211,323211,https://www.anzscolookup.com.au/occupations/323211,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Fitter And Turner,323212,323212,https://www.anzscolookup.com.au/occupations/323212,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Fitter Welder,323213,323213,https://www.anzscolookup.com.au/occupations/323213,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Fleet Manager,149411,149411,https://www.anzscolookup.com.au/occupations/149411,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Flight Attendant,451711,451711,https://www.anzscolookup.com.au/occupations/451711,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 3 states"
Floor Finisher,332111,332111,https://www.anzscolookup.com.au/occupations/332111,TRA,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 7 states"
Florist,362111,362111,https://www.anzscolookup.com.au/occupations/362111,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
flower grower,121611,121611,https://www.anzscolookup.com.au/occupations/121611,VETASSESS,"STSOL, CSOL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Flower Grower,121212,121212,https://www.anzscolookup.com.au/occupations/121212,Manual verification required,,Not available,Not available,"190: 0 states, 491: 0 states"
Flying Instructor,231113,231113,https://www.anzscolookup.com.au/occupations/231113,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 5 states"
Food Technologist,234212,234212,https://www.anzscolookup.com.au/occupations/234212,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Footballer,452411,452411,https://www.anzscolookup.com.au/occupations/452411,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 4 states, 491: 4 states"
Forester / Forest Scientist,234113,234113,https://www.anzscolookup.com.au/occupations/234113,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 6 states, 491: 5 states"
Fruit Or Nut Grower,121213,121213,https://www.anzscolookup.com.au/occupations/121213,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
funeral director,451311,451311,https://www.anzscolookup.com.au/occupations/451311,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Funeral Workers (NEC),451399,451399,https://www.anzscolookup.com.au/occupations/451399,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Furniture Finisher,394211,394211,https://www.anzscolookup.com.au/occupations/394211,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
Furniture Maker,394113,394113,https://www.anzscolookup.com.au/occupations/394113,TRA,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
futures trader,222212,222212,https://www.anzscolookup.com.au/occupations/222212,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Gallery Or Museum Curator,224212,224212,https://www.anzscolookup.com.au/occupations/224212,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
gallery or museum technician,399311,399311,https://www.anzscolookup.com.au/occupations/399311,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Gardener (General),362211,362211,https://www.anzscolookup.com.au/occupations/362211,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
Gas Or Petroleum Operator,399212,399212,https://www.anzscolookup.com.au/occupations/399212,TRA,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 5 states"
Gasfitter,334114,334114,https://www.anzscolookup.com.au/occupations/334114,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Gastroenterologist,253316,253316,https://www.anzscolookup.com.au/occupations/253316,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
General Practitioner,253111,253111,https://www.anzscolookup.com.au/occupations/253111,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Geologist,234411,234411,https://www.anzscolookup.com.au/occupations/234411,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Geophysicist,234412,234412,https://www.anzscolookup.com.au/occupations/234412,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Geotechnical Engineer,233212,233212,https://www.anzscolookup.com.au/occupations/233212,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Glazier,333111,333111,https://www.anzscolookup.com.au/occupations/333111,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Goat Farmer,121315,121315,https://www.anzscolookup.com.au/occupations/121315,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 4 states"
golfer,452412,452412,https://www.anzscolookup.com.au/occupations/452412,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
"Grain, Oilseed Or Pasture Grower (Aus)/Field Crop Grower (Nz)",121214,121214,https://www.anzscolookup.com.au/occupations/121214,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
Grape Grower,121215,121215,https://www.anzscolookup.com.au/occupations/121215,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 5 states"
Graphic Designer,232411,232411,https://www.anzscolookup.com.au/occupations/232411,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
Graphic Pre-press Trades Worker,392211,392211,https://www.anzscolookup.com.au/occupations/392211,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Greenkeeper,362311,362311,https://www.anzscolookup.com.au/occupations/362311,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
gunsmith,323312,323312,https://www.anzscolookup.com.au/occupations/323312,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Gymnastics Coach Or Instructor,452312,452312,https://www.anzscolookup.com.au/occupations/452312,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
hair or beauty salon manager,142114,142114,https://www.anzscolookup.com.au/occupations/142114,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Hairdresser,391111,391111,https://www.anzscolookup.com.au/occupations/391111,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Hardware Technician,313111,313111,https://www.anzscolookup.com.au/occupations/313111,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Health And Welfare Services Managers (NEC),134299,134299,https://www.anzscolookup.com.au/occupations/134299,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 7 states, 491: 7 states"
Health Diagnostic And Promotion Professionals (NEC),251999,251999,https://www.anzscolookup.com.au/occupations/251999,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Health Information Manager,224213,224213,https://www.anzscolookup.com.au/occupations/224213,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
health practice manager,512211,512211,https://www.anzscolookup.com.au/occupations/512211,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Health Promotion Officer,251911,251911,https://www.anzscolookup.com.au/occupations/251911,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 6 states, 491: 6 states"
Helicopter Pilot,231114,231114,https://www.anzscolookup.com.au/occupations/231114,CASA,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 5 states"
historian,272411,272411,https://www.anzscolookup.com.au/occupations/272411,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
homoeopath,252212,252212,https://www.anzscolookup.com.au/occupations/252212,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Horse Breeder,121316,121316,https://www.anzscolookup.com.au/occupations/121316,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Horse Riding Coach Or Instructor,452313,452313,https://www.anzscolookup.com.au/occupations/452313,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Horse Trainer,361112,361112,https://www.anzscolookup.com.au/occupations/361112,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Hospital Pharmacist,251511,251511,https://www.anzscolookup.com.au/occupations/251511,APharmC,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 8 states"
"Hospitality, Retail and Service Managers nec",149999,149999,https://www.anzscolookup.com.au/occupations/149999,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Hotel Or Motel Manager,141311,141311,https://www.anzscolookup.com.au/occupations/141311,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 7 states"
Hotel Service Manager,431411,431411,https://www.anzscolookup.com.au/occupations/431411,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Human Resource Adviser,223111,223111,https://www.anzscolookup.com.au/occupations/223111,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 5 states"
Human Resource Manager,132311,132311,https://www.anzscolookup.com.au/occupations/132311,IML,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Hydrogeologist,234413,234413,https://www.anzscolookup.com.au/occupations/234413,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
hydrographer,311415,311415,https://www.anzscolookup.com.au/occupations/311415,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
ICT Account Manager,225211,225211,https://www.anzscolookup.com.au/occupations/225211,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
ICT Business Analyst,261111,261111,https://www.anzscolookup.com.au/occupations/261111,ACS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
ICT Business Development Manager,225212,225212,https://www.anzscolookup.com.au/occupations/225212,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
ICT Customer Support Officer,313112,313112,https://www.anzscolookup.com.au/occupations/313112,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
ICT Managers (NEC),135199,135199,https://www.anzscolookup.com.au/occupations/135199,ACS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
ICT Project Manager,135112,135112,https://www.anzscolookup.com.au/occupations/135112,ACS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
ICT Quality Assurance Engineer,263211,263211,https://www.anzscolookup.com.au/occupations/263211,ACS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
ICT Sales Representative,225213,225213,https://www.anzscolookup.com.au/occupations/225213,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
ICT Security Specialist,262112,262112,https://www.anzscolookup.com.au/occupations/262112,ACS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 8 states, 491: 8 states"
ICT Support And Test Engineers (NEC),263299,263299,https://www.anzscolookup.com.au/occupations/263299,ACS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
