title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Irrigation Technician,362712,362712,https://www.anzscolookup.com.au/occupations/362712,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Jeweller,399411,399411,https://www.anzscolookup.com.au/occupations/399411,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Jewellery Designer,232313,232313,https://www.anzscolookup.com.au/occupations/232313,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Jockey,452413,452413,https://www.anzscolookup.com.au/occupations/452413,TRA,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 3 states"
Joiner,331213,331213,https://www.anzscolookup.com.au/occupations/331213,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Journalists And Other Writers (NEC),212499,212499,https://www.anzscolookup.com.au/occupations/212499,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
Judicial And Other Legal Professionals (NEC),271299,271299,https://www.anzscolookup.com.au/occupations/271299,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
kennel hand,361115,361115,https://www.anzscolookup.com.au/occupations/361115,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Laboratory Manager,139913,139913,https://www.anzscolookup.com.au/occupations/139913,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Land Economist,224511,224511,https://www.anzscolookup.com.au/occupations/224511,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Landscape Architect,232112,232112,https://www.anzscolookup.com.au/occupations/232112,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
landscape gardener,362711,362711,https://www.anzscolookup.com.au/occupations/362711,TRA,"STSOL, CSOL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Landscape Gardener,362213,362213,https://www.anzscolookup.com.au/occupations/362213,Manual verification required,,Not available,Not available,"190: 0 states, 491: 0 states"
law clerk,599214,599214,https://www.anzscolookup.com.au/occupations/599214,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
leather goods maker,393112,393112,https://www.anzscolookup.com.au/occupations/393112,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
legal executive,599112,599112,https://www.anzscolookup.com.au/occupations/599112,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Legal Secretary,521212,521212,https://www.anzscolookup.com.au/occupations/521212,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Liaison Officer,224912,224912,https://www.anzscolookup.com.au/occupations/224912,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Librarian,224611,224611,https://www.anzscolookup.com.au/occupations/224611,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
library technician,399312,399312,https://www.anzscolookup.com.au/occupations/399312,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Licensed Club Manager,141411,141411,https://www.anzscolookup.com.au/occupations/141411,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Life Science Technician,311413,311413,https://www.anzscolookup.com.au/occupations/311413,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 6 states, 491: 6 states"
Life Scientist (General),234511,234511,https://www.anzscolookup.com.au/occupations/234511,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
